player 4 initial hand 4 6 1 4

player 4 draws a 7 from deck 4
player 4 discards a 1 from deck 1
player 4 current hand 4 6 7 4

player 4 draws a 6 from deck 4
player 4 discards a 6 from deck 1
player 4 current hand 4 6 7 4

player 4 draws a 3 from deck 4
player 4 discards a 7 from deck 1
player 4 current hand 4 6 3 4

player 4 draws a 3 from deck 4
player 4 discards a 6 from deck 1
player 4 current hand 4 3 3 4

player 4 draws a 1 from deck 4
player 4 discards a 3 from deck 1
player 4 current hand 4 1 3 4

player 4 draws a 7 from deck 4
player 4 discards a 3 from deck 1
player 4 current hand 4 1 7 4

player 4 draws a 6 from deck 4
player 4 discards a 7 from deck 1
player 4 current hand 4 1 6 4

player 4 draws a 7 from deck 4
player 4 discards a 1 from deck 1
player 4 current hand 4 7 6 4

player 4 draws a 5 from deck 4
player 4 discards a 7 from deck 1
player 4 current hand 4 5 6 4

player 4 draws a 8 from deck 4
player 4 discards a 5 from deck 1
player 4 current hand 4 8 6 4

player 4 draws a 5 from deck 4
player 4 discards a 8 from deck 1
player 4 current hand 4 5 6 4

player 4 draws a 5 from deck 4
player 4 discards a 6 from deck 1
player 4 current hand 4 5 5 4

player 4 draws a 8 from deck 4
player 4 discards a 5 from deck 1
player 4 current hand 4 8 5 4

player 4 draws a 4 from deck 4
player 4 discards a 8 from deck 1
player 4 current hand 4 4 5 4

player 4 draws a 4 from deck 4
player 4 discards a 5 from deck 1
player 4 current hand 4 4 4 4

player 4 wins
player 4 exits
player 4 final hand: 4 4 4 4
